Player Name,Base Price,Type,Cost in Rs. (CR),2022 Squad,2023 Squad
Vicky Ostwal,Retained,ALL-ROUNDER,0.0,DC,DC
Mustafizur Rahman,Retained,BOWLER,0.0,DC,DC
Sarfaraz Khan,Retained,ALL-ROUNDER,0.0,DC,DC
Rovman Powell,Retained,BATSMAN,0.0,DC,DC
Lalit Yadav,Retained,ALL-ROUNDER,0.0,DC,DC
Axar Patel,Retained,ALL-ROUNDER,0.0,DC,DC
Anrich Nortje,Retained,BOWLER,0.0,DC,DC
Aman Khan (T),Retained,ALL-ROUNDER,0.0,DC,DC
Chetan Sakariya,Retained,BOWLER,0.0,DC,DC
David Warner,Retained,BATSMAN,0.0,DC,DC
Lungisani Ngidi,Retained,BOWLER,0.0,DC,DC
Kuldeep Yadav,Retained,BOWLER,0.0,DC,DC
Kamlesh Nagarkoti,Retained,ALL-ROUNDER,0.0,DC,DC
Mitchell Marsh,Retained,ALL-ROUNDER,0.0,DC,DC
Shakib Al Hasan,1500000,ALL-ROUNDER,1.5,,KKR
David Wiese,10000000,ALL-ROUNDER,1.0,,KKR
N. Jagadeesan,2000000,WICKETKEEPER,0.9,CSK,KKR
Vaibhav Arora,2000000,BOWLER,0.6,PBKS,KKR
Litton Das,5000000,WICKETKEEPER,0.5,,KKR
Mandeep Singh,5000000,BATSMAN,0.5,DC,KKR
Kulwant Khejroliya,2000000,BOWLER,0.2,,KKR
Suyash Sharma,2000000,BOWLER,0.2,,KKR
Sunil Narine,Retained,BOWLER,0.0,KKR,KKR
Shreyas Iyer,Retained,BATSMAN,0.0,KKR,KKR
Tim Southee,Retained,BOWLER,0.0,KKR,KKR
Umesh Yadav,Retained,BOWLER,0.0,KKR,KKR
Varun Chakaravarthy,Retained,BOWLER,0.0,KKR,KKR
Shardul Thakur (T),Retained,BOWLER,0.0,KKR,KKR
Venkatesh Iyer,Retained,ALL-ROUNDER,0.0,KKR,KKR
Harshit Rana,Retained,BOWLER,0.0,KKR,KKR
Anukul Roy,Retained,ALL-ROUNDER,0.0,KKR,KKR
Andre Russell,Retained,ALL-ROUNDER,0.0,KKR,KKR
Lockie Ferguson (T),Retained,BOWLER,0.0,KKR,KKR
Nitish Rana,Retained,ALL-ROUNDER,0.0,KKR,KKR
Rahmanullah Gurbaz (T),Retained,WICKETKEEPER,0.0,KKR,KKR
Rinku Singh,Retained,BATSMAN,0.0,KKR,KKR
Sam Curran,20000000,ALL-ROUNDER,18.5,,PBKS
Sikandar Raza,5000000,ALL-ROUNDER,0.5,,PBKS
Harpreet Bhatia,2000000,BATSMAN,0.4,,PBKS
Mohit Rathee,2000000,ALL-ROUNDER,0.2,,PBKS
Vidwath Kaverappa,2000000,BOWLER,0.2,,PBKS
Shivam Singh,5000000,WICKETKEEPER,0.2,,PBKS
Liam Livingstone,Retained,ALL-ROUNDER,0.0,PBKS,PBKS
Baltej Singh Dhanda,Retained,BOWLER,0.0,PBKS,PBKS
Atharva Taide,Retained,ALL-ROUNDER,0.0,PBKS,PBKS
Bhanuka Rajapakse,Retained,BATSMAN,0.0,PBKS,PBKS
Jitesh Sharma,Retained,WICKETKEEPER,0.0,PBKS,PBKS
Nathan Ellis,Retained,BOWLER,0.0,PBKS,PBKS
Jonny Bairstow,Retained,WICKETKEEPER,0.0,PBKS,PBKS
Kagiso Rabada,Retained,BOWLER,0.0,PBKS,PBKS
Harpreet Brar,Retained,ALL-ROUNDER,0.0,PBKS,PBKS
Shahrukh Khan,Retained,ALL-ROUNDER,0.0,PBKS,PBKS
Shikhar Dhawan,Retained,BATSMAN,0.0,PBKS,PBKS
Rahul Chahar,Retained,BOWLER,0.0,PBKS,PBKS
Arshdeep Singh,Retained,BOWLER,0.0,PBKS,PBKS
Prabhsimran Singh,Retained,WICKETKEEPER,0.0,PBKS,PBKS
Raj Angad Bawa,Retained,ALL-ROUNDER,0.0,PBKS,PBKS
Rishi Dhawan,Retained,ALL-ROUNDER,0.0,PBKS,PBKS
Nicholas Pooran,20000000,WICKETKEEPER,16.0,SRH,LSG
Daniel Sams,7500000,ALL-ROUNDER,0.75,MI,LSG
Jaydev Unadkat,5000000,BOWLER,0.5,MI,LSG
Naveen Ul Haq,5000000,BOWLER,0.5,,LSG
Amit Mishra,5000000,BOWLER,0.5,,LSG
Romario Shepherd,5000000,ALL-ROUNDER,0.5,SRH,LSG
Yash Thakur,2000000,BOWLER,0.45,,LSG
Swapnil Singh,2000000,ALL-ROUNDER,0.2,,LSG
Yudhvir Charak,2000000,ALL-ROUNDER,0.2,,LSG
Prerak Mankad,2000000,ALL-ROUNDER,0.2,PBKS,LSG
Mark Wood,Retained,BOWLER,0.0,LSG,LSG
Marcus Stoinis,Retained,ALL-ROUNDER,0.0,LSG,LSG
Mayank Yadav,Retained,BOWLER,0.0,LSG,LSG
Mohsin Khan,Retained,BOWLER,0.0,LSG,LSG
Quinton De Kock,Retained,WICKETKEEPER,0.0,LSG,LSG
Manan Vohra,Retained,BATSMAN,0.0,LSG,LSG
Ravi Bishnoi,Retained,BOWLER,0.0,LSG,LSG
Deepak Hooda,Retained,ALL-ROUNDER,0.0,LSG,LSG
Ayush Badoni,Retained,ALL-ROUNDER,0.0,LSG,LSG
Avesh Khan,Retained,BOWLER,0.0,LSG,LSG
K. Gowtham,Retained,ALL-ROUNDER,0.0,LSG,LSG
Karan Sharma,Retained,ALL-ROUNDER,0.0,LSG,LSG
Krunal Pandya,Retained,ALL-ROUNDER,0.0,LSG,LSG
KL Rahul,Retained,BATSMAN,0.0,LSG,LSG
Kyle Mayers,Retained,ALL-ROUNDER,0.0,LSG,LSG
Cameron Green,20000000,ALL-ROUNDER,17.5,,MI
Jhye Richardson,1500000,BOWLER,1.5,,MI
Piyush Chawla,5000000,BOWLER,0.5,,MI
Raghav Goyal,2000000,BOWLER,0.2,,MI
Shams Mulani,2000000,ALL-ROUNDER,0.2,,MI
Nehal Wadhera,2000000,ALL-ROUNDER,0.2,,MI
Vishnu Vinod,2000000,WICKETKEEPER,0.2,SRH,MI
Duan Jansen,2000000,ALL-ROUNDER,0.2,,MI
Ramandeep Singh,Retained,ALL-ROUNDER,0.0,MI,MI
N. Tilak Varma,Retained,ALL-ROUNDER,0.0,MI,MI
Mohd. Arshad Khan,Retained,ALL-ROUNDER,0.0,MI,MI
Rohit Sharma,Retained,BATSMAN,0.0,MI,MI
Suryakumar Yadav,Retained,BATSMAN,0.0,MI,MI
Kumar Kartikeya Singh,Retained,ALL-ROUNDER,0.0,MI,MI
Tristan Stubbs*,Retained,WICKETKEEPER,0.0,MI,MI
Tim David,Retained,ALL-ROUNDER,0.0,MI,MI
Hrithik Shokeen,Retained,ALL-ROUNDER,0.0,MI,MI
Arjun Tendulkar,Retained,ALL-ROUNDER,0.0,MI,MI
Akash Madhwal,Retained,BOWLER,0.0,MI,MI
Dewald Brevis,Retained,BATSMAN,0.0,MI,MI
Ishan Kishan,Retained,WICKETKEEPER,0.0,MI,MI
Jasprit Bumrah,Retained,BOWLER,0.0,MI,MI
Jason Behrendorff (T),Retained,BOWLER,0.0,MI,MI
Jofra Archer,Retained,ALL-ROUNDER,0.0,MI,MI
Will Jacks,1500000,BATSMAN,3.2,,RCB
Reece Topley,7500000,BOWLER,1.9,,RCB
Rajan Kumar,2000000,BOWLER,0.7,,RCB
Avinash Singh,2000000,BOWLER,0.6,,RCB
Manoj Bhandage,2000000,ALL-ROUNDER,0.2,,RCB
Sonu Yadav,2000000,ALL-ROUNDER,0.2,,RCB
Himanshu Sharma,2000000,BOWLER,0.2,,RCB
Rajat Patidar,Retained,BATSMAN,0.0,RCB,RCB
Mahipal Lomror,Retained,BOWLER,0.0,RCB,RCB
Shahbaz Ahamad,Retained,ALL-ROUNDER,0.0,RCB,RCB
Mohammed Siraj,Retained,BOWLER,0.0,RCB,RCB
Wanindu Hasaranga,Retained,ALL-ROUNDER,0.0,RCB,RCB
Karn Sharma,Retained,BOWLER,0.0,RCB,RCB
Virat Kohli,Retained,BATSMAN,0.0,RCB,RCB
Suyash Prabhudessai,Retained,ALL-ROUNDER,0.0,RCB,RCB
Siddharth Kaul,Retained,BOWLER,0.0,RCB,RCB
Finn Allen,Retained,BATSMAN,0.0,RCB,RCB
David Willey,Retained,ALL-ROUNDER,0.0,RCB,RCB
Anuj Rawat,Retained,WICKETKEEPER,0.0,RCB,RCB
Akash Deep,Retained,BOWLER,0.0,RCB,RCB
Dinesh Karthik,Retained,WICKETKEEPER,0.0,RCB,RCB
Faf Du Plessis,Retained,BATSMAN,0.0,RCB,RCB
Harshal Patel,Retained,ALL-ROUNDER,0.0,RCB,RCB
Glenn Maxwell,Retained,ALL-ROUNDER,0.0,RCB,RCB
Josh Hazlewood,Retained,BOWLER,0.0,RCB,RCB
Jason Holder,20000000,ALL-ROUNDER,5.75,LSG,RR
Adam Zampa,1500000,BOWLER,1.5,,RR
Joe Root,10000000,BATSMAN,1.0,,RR
Donovan Ferreira,2000000,WICKETKEEPER,0.5,,RR
K.M. Asif,3000000,BOWLER,0.3,CSK,RR
Kunal Rathore,2000000,WICKETKEEPER,0.2,,RR
Abdul P A,2000000,ALL-ROUNDER,0.2,,RR
Akash Vashisht,2000000,ALL-ROUNDER,0.2,,RR
Murugan Ashwin,2000000,BOWLER,0.2,MI,RR
Sanju Samson,Retained,WICKETKEEPER,0.0,RR,RR
Riyan Parag,Retained,ALL-ROUNDER,0.0,RR,RR
R. Ashwin,Retained,ALL-ROUNDER,0.0,RR,RR
Shimron Hetmyer,Retained,BATSMAN,0.0,RR,RR
Trent Boult,Retained,BOWLER,0.0,RR,RR
Prasidh Krishna,Retained,BOWLER,0.0,RR,RR
Yuzvendra Chahal,Retained,BOWLER,0.0,RR,RR
Yashasvi Jaiswal,Retained,BATSMAN,0.0,RR,RR
K.C Cariappa,Retained,BOWLER,0.0,RR,RR
Dhruv Jurel,Retained,WICKETKEEPER,0.0,RR,RR
Devdutt Padikkal,Retained,BATSMAN,0.0,RR,RR
Jos Buttler,Retained,WICKETKEEPER,0.0,RR,RR
Kuldeep Sen,Retained,BOWLER,0.0,RR,RR
Navdeep Saini,Retained,BOWLER,0.0,RR,RR
Kuldip Yadav,Retained,BOWLER,0.0,RR,RR
Obed Mccoy,Retained,BOWLER,0.0,RR,RR
Harry Brook,15000000,BATSMAN,13.25,,SRH
Mayank Agarwal,10000000,BATSMAN,8.25,PBKS,SRH
Heinrich Klaasen,10000000,WICKETKEEPER,5.25,,SRH
Vivrant Sharma,2000000,ALL-ROUNDER,2.6,,SRH
Adil Rashid,20000000,BOWLER,2.0,,SRH
Mayank Dagar,2000000,ALL-ROUNDER,1.8,,SRH
Akeal Hosein,10000000,BOWLER,1.0,,SRH
Mayank Markande,5000000,BOWLER,0.5,MI,SRH
Upendra Singh Yadav,2000000,WICKETKEEPER,0.25,,SRH
Nitish Kumar Reddy,2000000,WICKETKEEPER,0.2,,SRH
Samarth Vyas,2000000,ALL-ROUNDER,0.2,,SRH
Anmolpreet Singh,2000000,BATSMAN,0.2,MI,SRH
Sanvir Singh,2000000,ALL-ROUNDER,0.2,,SRH
Marco Jansen,Retained,ALL-ROUNDER,0.0,SRH,SRH
Rahul Tripathi,Retained,BATSMAN,0.0,SRH,SRH
Umran Malik,Retained,BOWLER,0.0,SRH,SRH
Washington Sundar,Retained,ALL-ROUNDER,0.0,SRH,SRH
Kartik Tyagi,Retained,BOWLER,0.0,SRH,SRH
T. Natarajan,Retained,BOWLER,0.0,SRH,SRH
Fazalhaq Farooqi,Retained,BOWLER,0.0,SRH,SRH
Abdul Samad,Retained,BATSMAN,0.0,SRH,SRH
Abhishek Sharma,Retained,ALL-ROUNDER,0.0,SRH,SRH
Aiden Markram,Retained,BATSMAN,0.0,SRH,SRH
Bhuvneshwar Kumar,Retained,BOWLER,0.0,SRH,SRH
Glenn Phillips,Retained,WICKETKEEPER,0.0,SRH,SRH
